Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
Netherlands 2020-02-27 1 NA Italy 2020-01-18 NA NA
Netherlands 2020-02-28 2 NA Italy 2020-01-19 NA NA
Netherlands 2020-02-29 7 NA Italy 2020-01-20 NA NA
Netherlands 2020-03-01 10 NA Italy 2020-01-21 NA NA
Netherlands 2020-03-02 18 NA Italy 2020-01-22 NA NA
Netherlands 2020-03-03 23 NA Italy 2020-01-23 NA NA
Netherlands 2020-03-04 38 NA Italy 2020-01-24 NA NA
Netherlands 2020-03-05 82 NA Italy 2020-01-25 NA NA
Netherlands 2020-03-06 128 1 Italy 2020-01-26 NA NA
Netherlands 2020-03-07 188 1 Italy 2020-01-27 NA NA
Netherlands 2020-03-08 265 3 Italy 2020-01-28 NA NA
Netherlands 2020-03-09 321 4 Italy 2020-01-29 NA NA
Netherlands 2020-03-10 382 4 Italy 2020-01-30 NA NA
Netherlands 2020-03-11 503 5 Italy 2020-01-31 NA NA
Netherlands 2020-03-12 614 5 Italy 2020-02-01 NA NA
Netherlands 2020-03-13 804 10 Italy 2020-02-02 NA NA
Netherlands 2020-03-14 959 12 Italy 2020-02-03 NA NA
Netherlands 2020-03-15 1135 20 Italy 2020-02-04 NA NA
Netherlands 2020-03-16 1413 24 Italy 2020-02-05 NA NA
Netherlands 2020-03-17 1705 43 Italy 2020-02-06 NA NA
Netherlands 2020-03-18 2051 58 Italy 2020-02-07 NA NA
Netherlands 2020-03-19 2460 76 Italy 2020-02-08 NA NA
Netherlands 2020-03-20 2994 106 Italy 2020-02-09 NA NA
Netherlands 2020-03-21 3631 136 Italy 2020-02-10 NA NA
Netherlands 2020-03-22 4204 179 Italy 2020-02-11 NA NA
Netherlands 2020-03-23 4749 213 Italy 2020-02-12 NA NA
Netherlands 2020-03-24 5560 276 Italy 2020-02-13 NA NA
Netherlands 2020-03-25 6412 356 Italy 2020-02-14 NA NA
Netherlands 2020-03-26 7431 434 Italy 2020-02-15 3 NA
Netherlands 2020-03-27 8603 546 Italy 2020-02-16 3 NA
Netherlands 2020-03-28 9762 639 Italy 2020-02-17 3 NA
Netherlands 2020-03-29 10866 771 Italy 2020-02-18 3 NA
Netherlands 2020-03-30 11750 864 Italy 2020-02-19 3 NA
Netherlands 2020-03-31 12595 1039 Italy 2020-02-20 4 NA
Netherlands 2020-04-01 13614 1173 Italy 2020-02-21 21 1
Netherlands 2020-04-02 14697 1339 Italy 2020-02-22 79 2
Netherlands 2020-04-03 15723 1487 Italy 2020-02-23 157 3
Netherlands 2020-04-04 16627 1651 Italy 2020-02-24 229 7
Netherlands 2020-04-05 17851 1766 Italy 2020-02-25 323 11
Netherlands 2020-04-06 18803 1867 Italy 2020-02-26 470 12
Netherlands 2020-04-07 19580 2101 Italy 2020-02-27 655 17
Netherlands 2020-04-08 20549 2248 Italy 2020-02-28 889 21
Netherlands 2020-04-09 21762 2396 Italy 2020-02-29 1128 29
Netherlands 2020-04-10 23097 2511 Italy 2020-03-01 1702 41
Netherlands 2020-04-11 24413 2643 Italy 2020-03-02 2038 52
Netherlands 2020-04-12 25587 2737 Italy 2020-03-03 2504 79
Netherlands 2020-04-13 26551 2823 Italy 2020-03-04 3092 107
Netherlands 2020-04-14 27419 2945 Italy 2020-03-05 3861 148
Netherlands 2020-04-15 28153 3134 Italy 2020-03-06 4639 197
Netherlands 2020-04-16 29214 3315 Italy 2020-03-07 5886 233
Netherlands 2020-04-17 30449 3459 Italy 2020-03-08 7380 367
Netherlands 2020-04-18 31589 3601 Italy 2020-03-09 9179 464
Netherlands 2020-04-19 32655 3684 Italy 2020-03-10 10156 633
Netherlands 2020-04-20 33405 3751 Italy 2020-03-11 12469 830
Netherlands 2020-04-21 34134 3916 Italy 2020-03-12 15122 1020
Netherlands 2020-04-22 34842 4054 Italy 2020-03-13 17670 1271
Netherlands 2020-04-23 35729 4177 Italy 2020-03-14 21169 1447
Netherlands 2020-04-24 36535 4289 Italy 2020-03-15 24762 1816
Netherlands 2020-04-25 37190 4409 Italy 2020-03-16 27997 2166
Netherlands 2020-04-26 37845 4475 Italy 2020-03-17 31524 2512
Netherlands 2020-04-27 38245 4518 Italy 2020-03-18 35732 2988
Netherlands 2020-04-28 38416 4566 Italy 2020-03-19 41056 3416
Netherlands 2020-04-29 38802 4711 Italy 2020-03-20 47044 4045
Netherlands 2020-04-30 39316 4795 Italy 2020-03-21 53598 4841
