Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
Netherlands 2020-02-27 1 0 Italy 2020-02-09 NA NA
Netherlands 2020-02-28 2 0 Italy 2020-02-10 NA NA
Netherlands 2020-02-29 7 0 Italy 2020-02-11 NA NA
Netherlands 2020-03-01 10 0 Italy 2020-02-12 NA NA
Netherlands 2020-03-02 18 0 Italy 2020-02-13 NA NA
Netherlands 2020-03-03 23 0 Italy 2020-02-14 NA NA
Netherlands 2020-03-04 38 0 Italy 2020-02-15 3 0
Netherlands 2020-03-05 82 0 Italy 2020-02-16 3 0
Netherlands 2020-03-06 128 1 Italy 2020-02-17 3 0
Netherlands 2020-03-07 188 1 Italy 2020-02-18 3 0
Netherlands 2020-03-08 265 3 Italy 2020-02-19 3 0
Netherlands 2020-03-09 321 4 Italy 2020-02-20 4 0
Netherlands 2020-03-10 382 4 Italy 2020-02-21 21 1
Netherlands 2020-03-11 503 5 Italy 2020-02-22 79 2
Netherlands 2020-03-12 614 5 Italy 2020-02-23 157 3
Netherlands 2020-03-13 804 10 Italy 2020-02-24 229 7
Netherlands 2020-03-14 959 12 Italy 2020-02-25 323 11
Netherlands 2020-03-15 1135 20 Italy 2020-02-26 470 12
Netherlands 2020-03-16 1413 24 Italy 2020-02-27 655 17
Netherlands 2020-03-17 1705 43 Italy 2020-02-28 889 21
Netherlands 2020-03-18 2051 58 Italy 2020-02-29 1128 29
Netherlands 2020-03-19 2460 76 Italy 2020-03-01 1701 41
Netherlands 2020-03-20 2994 106 Italy 2020-03-02 2036 52
Netherlands 2020-03-21 3631 136 Italy 2020-03-03 2502 79
Netherlands 2020-03-22 4204 179 Italy 2020-03-04 3089 107
Netherlands 2020-03-23 4749 213 Italy 2020-03-05 3858 148
Netherlands 2020-03-24 5560 276 Italy 2020-03-06 4636 197
Netherlands 2020-03-25 6412 356 Italy 2020-03-07 5883 233
Netherlands 2020-03-26 7431 434 Italy 2020-03-08 7375 366
Netherlands 2020-03-27 8603 546 Italy 2020-03-09 9172 463
Netherlands 2020-03-28 9762 639 Italy 2020-03-10 10149 631
Netherlands 2020-03-29 10866 771 Italy 2020-03-11 12462 827
Netherlands 2020-03-30 11750 864 Italy 2020-03-12 15113 1016
Netherlands 2020-03-31 12595 1039 Italy 2020-03-13 17660 1266
Netherlands 2020-04-01 NA NA Italy 2020-03-14 21157 1441
Netherlands 2020-04-02 NA NA Italy 2020-03-15 24747 1809
Netherlands 2020-04-03 NA NA Italy 2020-03-16 27980 2158
Netherlands 2020-04-04 NA NA Italy 2020-03-17 31506 2503
Netherlands 2020-04-05 NA NA Italy 2020-03-18 35713 2978
Netherlands 2020-04-06 NA NA Italy 2020-03-19 41035 3405
Netherlands 2020-04-07 NA NA Italy 2020-03-20 47021 4032
Netherlands 2020-04-08 NA NA Italy 2020-03-21 53578 4825
Netherlands 2020-04-09 NA NA Italy 2020-03-22 59138 5476
Netherlands 2020-04-10 NA NA Italy 2020-03-23 63927 6077
Netherlands 2020-04-11 NA NA Italy 2020-03-24 69176 6820
Netherlands 2020-04-12 NA NA Italy 2020-03-25 74386 7503
Netherlands 2020-04-13 NA NA Italy 2020-03-26 80589 8215
Netherlands 2020-04-14 NA NA Italy 2020-03-27 86498 9134
Netherlands 2020-04-15 NA NA Italy 2020-03-28 92472 10023
Netherlands 2020-04-16 NA NA Italy 2020-03-29 97689 10779
Netherlands 2020-04-17 NA NA Italy 2020-03-30 101739 11591
Netherlands 2020-04-18 NA NA Italy 2020-03-31 105792 12428
