Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
USA 2020-02-05 NA NA Italy 2020-02-15 3 NA
USA 2020-02-06 NA NA Italy 2020-02-16 3 NA
USA 2020-02-07 NA NA Italy 2020-02-17 3 NA
USA 2020-02-08 NA NA Italy 2020-02-18 3 NA
USA 2020-02-09 NA NA Italy 2020-02-19 3 NA
USA 2020-02-10 NA NA Italy 2020-02-20 4 NA
USA 2020-02-11 NA NA Italy 2020-02-21 21 1
USA 2020-02-12 NA NA Italy 2020-02-22 79 2
USA 2020-02-13 NA NA Italy 2020-02-23 157 3
USA 2020-02-14 NA NA Italy 2020-02-24 229 7
USA 2020-02-15 15 NA Italy 2020-02-25 323 11
USA 2020-02-16 15 NA Italy 2020-02-26 470 12
USA 2020-02-17 15 NA Italy 2020-02-27 655 17
USA 2020-02-18 15 NA Italy 2020-02-28 889 21
USA 2020-02-19 15 NA Italy 2020-02-29 1128 29
USA 2020-02-20 15 NA Italy 2020-03-01 1701 41
USA 2020-02-21 35 NA Italy 2020-03-02 2036 52
USA 2020-02-22 35 NA Italy 2020-03-03 2502 79
USA 2020-02-23 35 NA Italy 2020-03-04 3089 107
USA 2020-02-24 53 NA Italy 2020-03-05 3858 148
USA 2020-02-25 57 NA Italy 2020-03-06 4636 197
USA 2020-02-26 60 NA Italy 2020-03-07 5883 233
USA 2020-02-27 60 NA Italy 2020-03-08 7375 366
USA 2020-02-28 63 NA Italy 2020-03-09 9172 463
USA 2020-02-29 68 1 Italy 2020-03-10 10149 631
USA 2020-03-01 75 1 Italy 2020-03-11 12462 827
USA 2020-03-02 100 6 Italy 2020-03-12 15113 1016
USA 2020-03-03 124 9 Italy 2020-03-13 17660 1266
USA 2020-03-04 158 11 Italy 2020-03-14 21157 1441
USA 2020-03-05 221 12 Italy 2020-03-15 24747 1809
USA 2020-03-06 319 15 Italy 2020-03-16 27980 2158
USA 2020-03-07 435 19 Italy 2020-03-17 31506 2503
USA 2020-03-08 541 22 Italy 2020-03-18 35713 2978
USA 2020-03-09 704 26 Italy 2020-03-19 41035 3405
USA 2020-03-10 994 30 Italy 2020-03-20 47021 4032
USA 2020-03-11 1301 38 Italy 2020-03-21 53578 4825
USA 2020-03-12 1630 41 Italy 2020-03-22 59138 5476
USA 2020-03-13 2183 48 Italy 2020-03-23 63927 6077
USA 2020-03-14 2771 58 Italy 2020-03-24 69176 6820
USA 2020-03-15 3617 73 Italy 2020-03-25 74386 7503
USA 2020-03-16 4604 95 Italy 2020-03-26 80589 8215
USA 2020-03-17 6357 121 Italy 2020-03-27 86498 9134
USA 2020-03-18 9317 171 Italy 2020-03-28 92472 10023
USA 2020-03-19 13898 239 Italy 2020-03-29 97689 10779
USA 2020-03-20 19551 309 Italy 2020-03-30 101739 11591
USA 2020-03-21 24418 374 Italy 2020-03-31 105792 12428
USA 2020-03-22 33840 509 Italy 2020-04-01 110574 13155
USA 2020-03-23 44189 689 Italy 2020-04-02 115242 13915
USA 2020-03-24 55398 957 Italy 2020-04-03 119827 14681
USA 2020-03-25 68905 1260 Italy 2020-04-04 124632 15362
USA 2020-03-26 86379 1614 Italy 2020-04-05 128948 15887
USA 2020-03-27 105217 2110 Italy 2020-04-06 132547 16523
USA 2020-03-28 124788 2754 Italy 2020-04-07 135586 17127
USA 2020-03-29 144980 3251 Italy 2020-04-08 139422 17669
USA 2020-03-30 165851 3948 Italy 2020-04-09 143626 18279
USA 2020-03-31 190930 5027 Italy 2020-04-10 147577 18849
USA 2020-04-01 217771 6263 Italy 2020-04-11 152271 19468
USA 2020-04-02 248079 7438 Italy 2020-04-12 156363 19899
USA 2020-04-03 280738 8694 Italy 2020-04-13 159516 20465
USA 2020-04-04 315141 10231 Italy 2020-04-14 162488 21067
USA 2020-04-05 340775 11632 Italy 2020-04-15 165155 21645
USA 2020-04-06 372252 13128 Italy 2020-04-16 168941 22170
USA 2020-04-07 406000 15347 Italy 2020-04-17 172434 22745
USA 2020-04-08 438210 17503 Italy 2020-04-18 175925 23227
USA 2020-04-09 472016 19604 Italy 2020-04-19 178972 23660
USA 2020-04-10 505959 21830 Italy 2020-04-20 181228 24114
USA 2020-04-11 536145 23843 Italy 2020-04-21 NA NA
USA 2020-04-12 563753 25558 Italy NA NA NA
USA 2020-04-13 590573 27272 Italy NA NA NA
USA 2020-04-14 617661 29825 Italy NA NA NA
USA 2020-04-15 648003 32443 Italy NA NA NA
USA 2020-04-16 677570 34619 Italy NA NA NA
USA 2020-04-17 709735 37147 Italy NA NA NA
USA 2020-04-18 738792 39014 Italy NA NA NA
USA 2020-04-19 764636 40575 Italy NA NA NA
USA 2020-04-20 792759 42514 Italy NA NA NA
